train_loss,val_loss,train_acc,val_dr,val_far,val_f1
0.04546797349024564,0.5954309997558593,0.98825,0.999999999999,0.999999999999,0.6666666662217777
0.0014953324219677598,0.7085932245254517,1.0,0.999999999999,0.999999999999,0.6666666662217777
0.0006871552125085145,0.722426727771759,1.0,0.999999999999,0.999999999999,0.6666666662217777
0.0004574677569326013,0.6319286394119262,1.0,0.999999999999,0.999999999999,0.6666666662217777
0.00037965354637708516,0.6658090634346008,1.0,0.999999999999,0.999999999999,0.6666666662217777
0.00030370298004709186,1.0698631229400635,1.0,0.999999999999,0.999999999999,0.6666666662217777
0.0002795709545025602,1.0447114982604981,1.0,0.999999999999,0.999999999999,0.6666666662217777
0.00022455424873623996,0.8435840406417847,1.0,0.998999999999001,0.999999999999,0.6662220735797121
0.0002332181409583427,1.0664854164123536,1.0,0.998999999999001,0.999999999999,0.6662220735797121
0.00020065142191015185,1.100153594970703,1.0,0.998999999999001,0.999999999999,0.6662220735797121
0.0001908064726740122,0.9427825212478638,1.0,0.711999999999288,0.999999999999,0.5250737458467599
0.0001580012411577627,1.1151629152297973,1.0,0.710999999999289,0.999999999999,0.5245296933739159
0.00016355862311320378,1.1670434255599975,1.0,0.66999999999933,0.999999999999,0.5018726587071385
0.00019461194146424532,1.5302534427642822,1.0,0.999999999999,0.999999999999,0.6666666662217777
0.0001233999993710313,2.2769863624572753,1.0,0.999999999999,0.999999999999,0.6666666662217777
0.00010998645806103013,2.6054569759368897,1.0,0.999999999999,0.999999999999,0.6666666662217777
